source_name,link,category,ownership,notes
100PercentFedUp.com,http://100percentfedup.com/,,,
21stCenturyWire.com,http://21stcenturywire.com/,,,
70news.wordpress.com,https://70news.wordpress.com/,,,
abcnews.com.co,http://abcnews.com.co/,,,
ActivistPost.com,http://www.activistpost.com/,,,
Addicting Info  ,http://addictinginfo.org/,,,
American News X,http://americannewsx.com/,,,
AmericanNews.com,http://americannews.com/,,,
AnonNews.co,http://www.anonnews.co/,,,
Associated Media Coverage,,,,
BeforeItsNews.com,http://beforeitsnews.com/,,,
Being Liberal,https://www.facebook.com/beingliberal.org/,,,
BigAmericanNews.com,,,,Seems Defunct
BigPZone.com,http://therundownlive.com/news/,,,
Bipartisan Report,http://bipartisanreport.com/,clickbait,,
BizPac Review,http://www.bizpacreview.com/,,,
Blue Nation Review,http://bluenationreview.com/,,,
Breitbart,http://www.breitbart.com/,,,
Cap News,http://cap-news.com/,satire,,
ChristWire.org,http://christwire.org/,satire,,
Chronicle.su,http://chronicle.su/,,,
CivicTribune.com,http://civictribune.com/,,,
ClickHole.com,http://www.clickhole.com/,satire/comedy,,
CoastToCoastAM.com,http://www.coasttocoastam.com/,,,
CollectiveEvolution,http://www.collective-evolution.com/,,,
ConsciousLifeNews.com,http://consciouslifenews.com/,,,
ConspiracyWire (WideAwakeAmerica.com),,,,Seems to be an attack site now
CountdownToZeroTime.com,http://countdowntozerotime.com/,,,
CounterPsyOps.com,https://counterpsyops.com/,,,
CreamBMP.com,http://creambmp.com/,,,
Crooks and Liars,http://crooksandliars.com/,,,
Daily Wire,http://www.dailywire.com/#,,,
DailyBuzzLive.com,http://dailybuzzlive.com/,,,
DailyCurrant.com,http://dailycurrant.com/,satire,,
DCClothesLine.com,http://www.dcclothesline.com/,,,
DCGazette.com,http://thedcgazette.com/,,,
Denver Guardian ,http://denverguardian.com/,,,
DerfMagazine.com,http://www.derfmagazine.com/,,,
Disclose.tv,http://www.disclose.tv/,,,
DrudgeReport.com.co,http://drudgereport.com.co/,,,
DuffleBlog.com,http://www.duffelblog.com/,satire/comedy,,
DuhProgressive.com,http://duhprogressive.com/,,,
Embols.com,http://embols.com/,,,
Empire Herald,https://empireherald.com/,,,
Empire News,http://empirenews.net/,,,
EmpireNews.com,,,,Seems Defunct
Endingthefed.com (ETF News),http://endingthefed.com/,,,
EnduringVision.com,http://www.enduringvision.com/,,,
FPRNradio.com,http://fprnradio.com/,,,
GeoEngineeringWatch.org,http://www.geoengineeringwatch.org/,,,
GlobalResearch.ca,http://www.globalresearch.ca/,,,
GovtSlaves.info,http://govtslaves.info/,,,
GulagBound.com,http://gulagbound.com/,,,
HangTheBankers.com,http://www.hangthebankers.com/,,,
HumansAreFree.com,http://humansarefree.com/,,,
Huzlers,http://huzlers.com/,,,Seems Defunct
IfYouOnlyNews,http://www.ifyouonlynews.com/,,,
IJR (Independent Journal Review),http://ijr.com/,,,
Indecision Forever (www.cc.com/indecision),,,,Seems Defunct
